,PID,Inicio,Fin,PF,Seed
422596,W0HTD7_9GAMM,12,408,PF03611,1.0
422597,Q2G145_STAA8,10,406,PF03611,1.0
422598,D9R2K0_CLOSW,9,405,PF03611,1.0
422599,Q65NB4_BACLD,11,407,PF03611,1.0
422600,F4PFZ4_BATDJ,7,404,PF03611,1.0
422601,C9AAB4_ENTCA,10,406,PF03611,1.0
422602,F2I6H0_AERUA,10,406,PF03611,1.0
422603,A4VSS0_STRSY,8,404,PF03611,1.0
422604,Q8E203_STRA5,10,406,PF03611,1.0
422605,Q82ZT3_ENTFA,10,407,PF03611,1.0
422606,F9UUK2_LACPL,10,407,PF03611,1.0
422607,F9VCS0_LACGL,10,410,PF03611,1.0
422608,F9USP6_LACPL,10,405,PF03611,1.0
422609,X5DTS0_9CORY,10,409,PF03611,1.0
422610,E3DA81_GARV3,26,425,PF03611,1.0
422611,B2TRA9_CLOBB,10,406,PF03611,1.0
422612,F9VJL9_ARTSS,10,415,PF03611,1.0
422613,R6UAP9_9FIRM,7,428,PF03611,1.0
422614,D4MUW9_ANAHA,6,417,PF03611,1.0
422615,F2N7H2_CORGP,9,425,PF03611,1.0
422616,E1QXS5_OLSUV,9,444,PF03611,1.0
422617,C8W918_ATOPD,9,441,PF03611,1.0
422618,Q4A9C9_MYCHJ,13,455,PF03611,1.0
422619,Q98R12_MYCPU,29,468,PF03611,1.0
422620,M9WGT2_9MOLU,13,440,PF03611,1.0
422621,Q5E197_VIBF1,10,405,PF03611,1.0
422622,I0JRB6_HALH3,8,404,PF03611,1.0
422623,D3FQ09_BACPE,8,404,PF03611,1.0
422624,N0B5A2_9BACI,8,404,PF03611,1.0
422625,A8FDW1_BACP2,8,403,PF03611,1.0
422626,A6T9A5_KLEP7,8,404,PF03611,1.0
422627,D4MUT5_ANAHA,10,407,PF03611,1.0
422628,F2N9Y5_CORGP,10,410,PF03611,1.0
422629,E1QXT8_OLSUV,10,416,PF03611,1.0
422630,D8MWV8_ERWBE,10,405,PF03611,1.0
422631,Q5WC73_BACSK,10,405,PF03611,1.0
422632,A6LYR3_CLOB8,7,402,PF03611,1.0
422633,E3E5N8_PAEPS,6,401,PF03611,1.0
422634,X2H1C1_9GAMM,6,401,PF03611,1.0
422635,E0SCJ6_DICD3,6,409,PF03611,1.0
422636,D1APJ7_SEBTE,10,406,PF03611,1.0
422637,R5TVL3_9CLOT,7,408,PF03611,1.0
422638,F2NAT8_CORGP,10,418,PF03611,1.0
422639,Q8ZQJ4_SALTY,17,421,PF03611,1.0
422640,D1AJW0_SEBTE,14,417,PF03611,1.0
422641,U6B5L4_9RHIZ,14,413,PF03611,1.0
422642,Q7MBY3_VIBVY,14,417,PF03611,1.0
422643,Q9CMQ1_PASMU,43,446,PF03611,1.0
422644,A3N2Z8_ACTP2,6,418,PF03611,1.0
422645,Q4A581_MYCS5,72,527,PF03611,1.0
422646,Q4A723_MYCS5,54,509,PF03611,1.0
422647,A5IZ79_MYCAP,57,530,PF03611,1.0
422648,C4XFK0_MYCFP,55,499,PF03611,1.0
422649,Q98PX5_MYCPU,59,531,PF03611,1.0
422650,L0RUG0_MYCC1,63,518,PF03611,1.0
422651,K7X326_MYCHR,65,526,PF03611,1.0
422652,W5V0C9_9MOLU,56,522,PF03611,1.0
422653,Q4A9W1_MYCHJ,54,526,PF03611,1.0
422654,C5J6C9_MYCCR,56,528,PF03611,1.0
422655,D4MW79_ANAHA,14,426,PF03611,1.0
422656,B2TQJ4_CLOBB,14,425,PF03611,1.0
422657,F9VKW2_ARTSS,14,426,PF03611,1.0
422658,Q034C1_LACP3,18,443,PF03611,1.0
422659,F5WSP7_ERYRF,15,431,PF03611,1.0
422660,Q3XYI1_ENTFC,15,436,PF03611,1.0
422661,R6KF55_9CLOT,14,433,PF03611,1.0
422662,C8W9G9_ATOPD,14,435,PF03611,1.0
422663,D1AJV2_SEBTE,14,426,PF03611,1.0
422664,F4LQZ1_TEPAE,10,417,PF03611,1.0
422665,W0L757_9GAMM,14,419,PF03611,1.0
422666,D1ALJ9_SEBTE,19,424,PF03611,1.0
422667,Q9KG89_BACHD,11,416,PF03611,1.0
422668,Q8Y426_LISMO,10,416,PF03611,1.0
422669,Q8XN15_CLOPE,10,406,PF03611,1.0
422670,Q8EL18_OCEIH,10,409,PF03611,1.0
422671,G4L7G0_TETHN,6,401,PF03611,1.0
422672,I3VS04_THESW,6,401,PF03611,1.0
422673,Q67M03_SYMTH,10,405,PF03611,1.0
422674,D6XZQ4_BACIE,10,405,PF03611,1.0
422675,B8CZR1_HALOH,10,405,PF03611,1.0
422676,B0S3L6_FINM2,9,404,PF03611,1.0
422677,J7TT99_MORMO,10,404,PF03611,1.0
422678,A6LX10_CLOB8,9,404,PF03611,1.0
422679,R5ZGB9_9ACTN,13,413,PF03611,1.0
422680,I0GLE0_CALEA,10,405,PF03611,1.0
422681,B5Y8T8_COPPD,10,405,PF03611,1.0
422682,I3WFG2_BIFBI,1,408,PF03611,1.0
422683,W5Y4U4_9CORY,14,427,PF03611,1.0
422684,X5DN04_9CORY,14,429,PF03611,1.0
422685,Q9S1Z0_STRCO,14,427,PF03611,1.0
422686,V4IBZ1_9ACTN,14,427,PF03611,1.0
422687,B2GIS7_KOCRD,14,425,PF03611,1.0
422688,Q6AAL8_CUTAK,14,425,PF03611,1.0
543838,D3F4C4_CONWI,147,324,PF14518,1.0
543839,A8KYK6_FRASN,152,329,PF14518,1.0
543840,F8B4V4_FRADG,167,344,PF14518,1.0
543841,E3J8C7_FRAIE,220,397,PF14518,1.0
543842,B0RFZ4_CLAMS,175,352,PF14518,1.0
543843,B2GIT4_KOCRD,149,326,PF14518,1.0
543844,M1NP71_9CORY,154,331,PF14518,1.0
543845,F4H0X5_CELFA,143,320,PF14518,1.0
543846,E1W0J6_GLUAR,85,262,PF14518,1.0
543847,D1BEH3_SANKS,162,339,PF14518,1.0
543848,D5UHV6_CELFN,156,333,PF14518,1.0
543849,F8A4W1_CELGA,122,299,PF14518,1.0
543850,A0K0Z3_ARTS2,149,326,PF14518,1.0
543851,C0ZT04_RHOE4,142,319,PF14518,1.0
543852,F1TJ66_RHOHA,160,337,PF14518,1.0
543853,C7NJW1_KYTSD,94,269,PF14518,1.0
543854,H6MWP6_GORPV,148,325,PF14518,1.0
543855,A0QTA7_MYCS2,140,317,PF14518,1.0
543856,V5X8R3_MYCNE,140,317,PF14518,1.0
543857,H6R3S1_NOCCG,131,308,PF14518,1.0
543858,W5TKC6_9NOCA,170,347,PF14518,1.0
543859,A4FHB6_SACEN,138,315,PF14518,1.0
543860,H5X2G3_9PSEU,146,323,PF14518,1.0
543861,C6WJM4_ACTMD,141,318,PF14518,1.0
543862,K0K6Y5_SACES,135,312,PF14518,1.0
543863,G0FT54_AMYMS,135,312,PF14518,1.0
543864,R4T432_AMYOR,134,311,PF14518,1.0
543865,F6EGC2_HOYSD,154,331,PF14518,1.0
543866,V9XHY3_9NOCA,137,314,PF14518,1.0
543867,F2RM00_STRVP,141,318,PF14518,1.0
543868,G2NK01_STREK,131,308,PF14518,1.0
543869,F2RHP5_STRVP,139,316,PF14518,1.0
543870,V4KAN0_9ACTN,139,316,PF14518,1.0
543871,A6WDD3_KINRD,133,310,PF14518,1.0
543872,D7B3V3_NOCDD,130,307,PF14518,1.0
543873,F4CUB4_PSEUX,136,313,PF14518,1.0
543874,C7PZY8_CATAD,132,309,PF14518,1.0
543875,F2RE64_STRVP,107,278,PF14518,1.0
543876,G8WNK3_STREN,100,274,PF14518,1.0
543877,W0LAG3_9GAMM,165,342,PF14518,1.0
543878,E0UKP1_CYAP2,177,355,PF14518,1.0
543879,Q1QZK5_CHRSD,173,351,PF14518,1.0
543880,Q1AT10_RUBXD,39,216,PF14518,1.0
543881,X4ZFW9_9BACL,49,223,PF14518,1.0
543882,Q0K012_CUPNH,43,219,PF14518,1.0
543883,V9XJ63_9NOCA,43,219,PF14518,1.0
543884,S0EZE9_CHTCT,47,220,PF14518,1.0
543885,Q117R9_TRIEI,46,219,PF14518,1.0
543886,Q1IVL7_KORVE,39,212,PF14518,1.0
543887,K8GSV7_9CYAN,36,213,PF14518,1.0
543888,Q2Y5P8_NITMU,40,222,PF14518,1.0
543889,Q82UP8_NITEU,39,221,PF14518,1.0
543890,Q2JBG9_FRACC,42,222,PF14518,1.0
543891,H8MI25_CORCM,32,192,PF14518,1.0
543892,A1STH8_PSYIN,547,720,PF14518,1.0
543893,A2SJ82_METPP,38,208,PF14518,1.0
543894,S6BEH0_9GAMM,38,207,PF14518,1.0
543895,Q1QZU6_CHRSD,38,207,PF14518,1.0
543896,A6W200_MARMS,38,207,PF14518,1.0
543897,B9TJD9_RICCO,38,212,PF14518,1.0
543898,K0C563_CYCSP,38,207,PF14518,1.0
543899,Q5R011_IDILO,38,207,PF14518,1.0
543900,A1TXC8_MARHV,541,710,PF14518,1.0
543901,B2HRU3_MYCMM,39,208,PF14518,1.0
543902,C5AMR2_BURGB,43,211,PF14518,1.0
543903,Q9PBU4_XYLFA,56,224,PF14518,1.0
543904,D0LTF0_HALO1,144,327,PF14518,1.0
543905,K9QA04_9NOSO,143,313,PF14518,1.0
543906,H8MUX3_CORCM,114,287,PF14518,1.0
543907,B4RG72_PHEZH,115,288,PF14518,1.0
543908,D4YZZ9_SPHJU,109,282,PF14518,1.0
543909,W0AIH4_9SPHN,89,262,PF14518,1.0
543910,D7C9E2_STRBB,124,298,PF14518,1.0
543911,G2PF88_STRVO,161,336,PF14518,1.0
543912,V6KHH9_STRRC,76,255,PF14518,1.0
543913,Q21EY7_SACD2,168,349,PF14518,1.0
543914,I3TWX2_TISMK,161,339,PF14518,1.0
543915,Q5ZZE6_LEGPH,114,292,PF14518,1.0
543916,Q09E92_STIAD,160,338,PF14518,1.0
543917,A6T9B3_KLEP7,163,340,PF14518,1.0
543918,B4EGJ8_BURCJ,171,349,PF14518,1.0
543919,C5ALH7_BURGB,176,354,PF14518,1.0
543920,A1WSB0_VEREI,157,337,PF14518,1.0
543921,E2S7U9_9ACTN,128,305,PF14518,1.0
543922,A1SNS6_NOCSJ,124,301,PF14518,1.0
543923,R7XXR6_9ACTN,98,275,PF14518,1.0
543924,D2SAW0_GEOOG,134,311,PF14518,1.0
543925,D2AXS3_STRRD,134,311,PF14518,1.0
543926,G8SHX0_ACTS5,123,300,PF14518,1.0
543927,U5W6S9_9ACTN,123,300,PF14518,1.0
543928,D9TA86_MICAI,144,321,PF14518,1.0
18088,A6P1W9_9FIRM,34,254,PF08843,1.0
18089,A6LIS3_PARD8,36,258,PF08843,1.0
18090,Q5KV23_GEOKA,37,258,PF08843,1.0
18091,B4SEI7_PELPB,39,257,PF08843,1.0
18092,A8ZZS0_DESOH,39,259,PF08843,1.0
18093,Q1M7T1_RHIL3,81,300,PF08843,1.0
18094,Q0F353_9PROT,38,260,PF08843,1.0
18095,A6DSE9_9BACT,33,256,PF08843,1.0
18096,Q5GY13_XANOR,41,262,PF08843,1.0
18097,A1W4H8_ACISJ,35,256,PF08843,1.0
18098,A1VW15_POLNA,35,256,PF08843,1.0
18099,A3Z4Q5_9SYNE,35,255,PF08843,1.0
18100,A0LJY5_SYNFM,39,260,PF08843,1.0
18101,Q6MDV8_PARUW,32,251,PF08843,1.0
18102,Q6M9M4_PARUW,38,258,PF08843,1.0
18103,A4AL11_9ACTN,32,263,PF08843,1.0
18104,Q3Y113_ENTFC,32,252,PF08843,1.0
18105,A6NXL8_9FIRM,29,249,PF08843,1.0
18106,Q6MU66_MYCMS,32,253,PF08843,1.0
18107,Q2IEN8_ANADE,40,269,PF08843,1.0
18108,Q0RZM2_RHOJR,41,272,PF08843,1.0
18109,Q3L9Z1_RHOE4,41,273,PF08843,1.0
18110,A4TG06_MYCGI,45,278,PF08843,1.0
18111,A4XFS5_CALS8,11,198,PF08843,1.0
18112,Q7WXF2_CUPNH,19,210,PF08843,1.0
18113,Q120Y5_POLSJ,21,211,PF08843,1.0
18114,Q21T10_RHOFT,21,211,PF08843,1.0
18115,A1WFU2_VEREI,21,211,PF08843,1.0
18116,A4Z034_BRASO,13,212,PF08843,1.0
18117,Q4BV89_CROWT,13,234,PF08843,1.0
18118,Q2KB15_RHIEC,41,246,PF08843,1.0
18119,A2SDV7_METPP,12,231,PF08843,1.0
18120,A1VJ73_POLNA,12,232,PF08843,1.0
18121,Q5QWW7_IDILO,14,223,PF08843,1.0
18122,Q1LN31_CUPMC,10,279,PF08843,1.0
18123,A1VVH0_POLNA,10,280,PF08843,1.0
18124,Q58AR5_CUPMC,10,285,PF08843,1.0
18125,A4JU43_BURVG,10,285,PF08843,1.0
18126,Q8P655_XANCP,10,280,PF08843,1.0
18127,E0TGY4_PARBH,11,280,PF08843,1.0
18128,Q8PKJ2_XANAC,17,288,PF08843,1.0
18129,Q7ND98_GLOVI,12,283,PF08843,1.0
18130,A6F2Q0_9ALTE,14,284,PF08843,1.0
18131,Q11AE5_CHESB,12,283,PF08843,1.0
18132,A3UHI0_9RHOB,12,283,PF08843,1.0
18133,A6X803_OCHA4,12,281,PF08843,1.0
18134,A0YF78_9GAMM,10,274,PF08843,1.0
18135,Q3ARB4_CHLCH,11,282,PF08843,1.0
18136,A0M137_GRAFK,30,253,PF08843,1.0
18137,Q3SW13_NITWN,30,253,PF08843,1.0
18138,A1BFK9_CHLPD,30,252,PF08843,1.0
18139,B9M297_GEODF,30,250,PF08843,1.0
18140,Q07LJ4_RHOP5,30,260,PF08843,1.0
18141,A1BFT1_CHLPD,31,275,PF08843,1.0
18142,Q0YUP4_9CHLB,31,275,PF08843,1.0
18143,A6VTK2_MARMS,28,267,PF08843,1.0
18144,A6LDX6_PARD8,32,268,PF08843,1.0
18145,Q74DE8_GEOSL,31,281,PF08843,1.0
18146,Q1NX65_9DELT,31,281,PF08843,1.0
18147,O54654_HALSA,29,256,PF08843,1.0
18148,Q3B1Q4_CHLL7,29,234,PF08843,1.0
18149,A8ZVR5_DESOH,29,286,PF08843,1.0
18150,A6GZS9_FLAPJ,29,275,PF08843,1.0
18151,Q1Q4B8_KUEST,29,269,PF08843,1.0
18152,Q82TQ8_NITEU,35,265,PF08843,1.0
18153,A0RWG6_CENSY,28,254,PF08843,1.0
18154,A0RWG1_CENSY,28,244,PF08843,1.0
18155,Q6L332_PICTO,28,244,PF08843,1.0
18156,Q7MW16_PORGI,42,316,PF08843,1.0
18157,A6DS96_9BACT,37,309,PF08843,1.0
18158,A1TXM9_MARHV,49,331,PF08843,1.0
18159,A6THM9_KLEP7,48,339,PF08843,1.0
18160,Q0BSX7_GRABC,42,325,PF08843,1.0
18161,Q82T38_NITEU,42,327,PF08843,1.0
18162,Q7D419_AGRFC,45,352,PF08843,1.0
18163,Q47DL1_DECAR,45,335,PF08843,1.0
18164,B0T9L0_CAUSK,43,328,PF08843,1.0
18165,Q6MDY6_PARUW,41,327,PF08843,1.0
18166,A0LER7_SYNFM,41,321,PF08843,1.0
18167,Q212U2_RHOPB,41,335,PF08843,1.0
18168,A3ZP42_9PLAN,42,324,PF08843,1.0
18169,Q3A7V2_PELCD,41,315,PF08843,1.0
18170,A2SRV5_METLZ,41,321,PF08843,1.0
236165,Q6M0G2_METMP,1,114,PF02635,1.0
236166,Q221T8_RHOFT,2,117,PF02635,1.0
236167,Q0AB08_ALKEH,1,118,PF02635,1.0
236168,A3QJQ8_SHELP,2,117,PF02635,1.0
236169,Q32GY5_SHIDS,2,117,PF02635,1.0
236170,Q47F14_DECAR,2,117,PF02635,1.0
236171,A6UVL9_META3,3,120,PF02635,1.0
236172,Q2RLC4_MOOTA,2,116,PF02635,1.0
236173,Q4K9W3_PSEF5,3,120,PF02635,1.0
236174,A1U0T5_MARHV,1,115,PF02635,1.0
236175,Q1QW82_CHRSD,10,126,PF02635,1.0
236176,Q482F0_COLP3,5,121,PF02635,1.0
236177,Q12N85_SHEDO,2,118,PF02635,1.0
236178,A1S6H9_SHEAM,2,118,PF02635,1.0
236179,Q15T19_PSEA6,2,118,PF02635,1.0
236180,A1T061_PSYIN,4,120,PF02635,1.0
236181,TUSC_CITK8,2,119,PF02635,1.0
236182,TUSC_SODGM,2,119,PF02635,1.0
236183,Q1LSY9_BAUCH,2,119,PF02635,1.0
236184,Q056Z7_BUCCC,2,119,PF02635,1.0
236185,TUSC_BUCBP,2,119,PF02635,1.0
236186,TUSC_VIBCH,3,118,PF02635,1.0
236187,TUSC_PASMU,1,119,PF02635,1.0
236188,M9WUG3_MANHA,5,123,PF02635,1.0
236189,TUSC_HAEIN,1,119,PF02635,1.0
236190,A6VMD1_ACTSZ,2,120,PF02635,1.0
236191,TUSC_VIBPA,4,118,PF02635,1.0
236192,B7VLG4_VIBTL,4,118,PF02635,1.0
236193,A0KQA0_AERHH,2,118,PF02635,1.0
236194,Q6LVC5_PHOPR,2,118,PF02635,1.0
236195,TUSC_VIBF1,2,118,PF02635,1.0
236196,Q3B6V0_CHLL7,6,122,PF02635,1.0
236197,A0L8C1_MAGMM,6,133,PF02635,1.0
236198,Q2W1V1_MAGSA,10,126,PF02635,1.0
236199,DSRF_ALLVD,6,136,PF02635,1.0
236200,A1AXC6_RUTMC,4,132,PF02635,1.0
236201,Q2SJ26_HAHCH,7,123,PF02635,1.0
236202,O27410_METTH,4,119,PF02635,1.0
236203,A6UVM0_META3,2,116,PF02635,1.0
236204,Q482E9_COLP3,2,122,PF02635,1.0
236205,TUSD_VIBPA,6,131,PF02635,1.0
236206,A0KQA1_AERHH,5,130,PF02635,1.0
236207,TUSD_PHOLL,4,131,PF02635,1.0
236208,TUSD_BUCAI,1,128,PF02635,1.0
236209,TUSD_BUCBP,1,130,PF02635,1.0
236210,Q056Z6_BUCCC,1,130,PF02635,1.0
236211,TUSD_HAEDU,1,125,PF02635,1.0
236212,TUSD_HAEIN,1,126,PF02635,1.0
236213,A1U0T4_MARHV,5,132,PF02635,1.0
236214,Q0VQ01_ALCBS,1,123,PF02635,1.0
236215,Q1QW81_CHRSD,1,128,PF02635,1.0
236216,Q2SJ25_HAHCH,1,128,PF02635,1.0
236217,V6F6H7_9PROT,1,117,PF02635,1.0
236218,A0L8C0_MAGMM,1,116,PF02635,1.0
236219,A1BCS5_CHLPD,1,117,PF02635,1.0
236220,Q609A4_METCA,1,121,PF02635,1.0
236221,A6W0C4_MARMS,1,129,PF02635,1.0
236222,Q15T20_PSEA6,2,129,PF02635,1.0
236223,A3QEI3_SHELP,2,129,PF02635,1.0
236224,Q5V6A8_HALMA,2,123,PF02635,1.0
236225,Q9X076_THEMA,1,115,PF02635,1.0
236226,Q60BW1_METCA,1,119,PF02635,1.0
236227,O27468_METTH,151,269,PF02635,1.0
236228,A6UUB5_META3,154,272,PF02635,1.0
236229,Q8TYE3_METKA,101,218,PF02635,1.0
236230,O30051_ARCFU,2,119,PF02635,1.0
236231,Q5KY75_GEOKA,1,129,PF02635,1.0
236232,Q8ZUX0_PYRAE,3,114,PF02635,1.0
236233,Q96ZF6_SULTO,8,126,PF02635,1.0
236234,B4U9E9_HYDS0,7,133,PF02635,1.0
236235,Q9HV13_PSEAE,9,125,PF02635,1.0
236236,A2SEH9_METPP,6,122,PF02635,1.0
236237,Q3AR97_CHLCH,3,120,PF02635,1.0
236238,A0LIU0_SYNFM,2,120,PF02635,1.0
236239,A0LPB2_SYNFM,2,116,PF02635,1.0
18614,A1A366_BIFAA,44,246,PF07751,1.0
18615,B0T905_CAUSK,37,220,PF07751,1.0
18616,W0F1W1_9BACT,32,216,PF07751,1.0
18617,Q5ZWL6_LEGPH,70,255,PF07751,1.0
18618,I4B0B2_TURPD,33,216,PF07751,1.0
18619,D5SV51_PLAL2,32,226,PF07751,1.0
